County,City,Model Year,Maker,Model,EV Type,CAFV Eligibility,Electric Range,Electric Utility
Snohomish,Bothell,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Kitsap,Bainbridge Island,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Kitsap,Bremerton,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Thurston,Olympia,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Thurston,Rochester,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Kitsap,Indianola,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Kitsap,Kingston,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Island,Oak Harbor,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Kitsap,Port Orchard,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Thurston,Lacey,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Snohomish,Lake Stevens,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Snohomish,Edmonds,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Skagit,Burlington,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Snohomish,Arlington,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Snohomish,Lynnwood,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Walla Walla,Walla Walla,2016,AUDI,A3,PHEV,Not eligible,16,PACIFICORP
Spokane,Spokane,2016,AUDI,A3,PHEV,Not eligible,16,AVISTA CORP
Snohomish,Brier,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Snohomish,Mukilteo,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Kitsap,Bainbridge Island,2016,BMW,330E,PHEV,Not eligible,14,PSE INC
Thurston,Olympia,2016,BMW,330E,PHEV,Not eligible,14,PSE INC
Snohomish,Bothell,2016,BMW,330E,PHEV,Not eligible,14,PSE INC
Snohomish,Snohomish,2016,BMW,330E,PHEV,Not eligible,14,PSE INC
Snohomish,Edmonds,2016,BMW,330E,PHEV,Not eligible,14,PSE INC
Kitsap,Poulsbo,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Kitsap,Bremerton,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Thurston,Tenino,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Thurston,Lacey,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Kitsap,Bainbridge Island,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Snohomish,Marysville,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Kitsap,Poulsbo,2016,BMW,I3,BEV,Eligible,81,PSE INC
Snohomish,Lynnwood,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Kitsap,Silverdale,2016,BMW,I3,BEV,Eligible,81,PSE INC
Snohomish,Bothell,2016,BMW,I3,BEV,Eligible,81,PSE INC
Snohomish,Arlington,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Spokane,Spokane Valley,2016,BMW,I3,PHEV,Eligible,72,AVISTA CORP
Snohomish,Edmonds,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Snohomish,Snohomish,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Snohomish,Lake Stevens,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Snohomish,Monroe,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Snohomish,Bothell,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Snohomish,Edmonds,2016,BMW,I3,BEV,Eligible,81,PSE INC
Snohomish,Woodinville,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Island,Coupeville,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Snohomish,Everett,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Snohomish,Everett,2016,BMW,I3,BEV,Eligible,81,PSE INC
Snohomish,Mukilteo,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Spokane,Spokane,2016,BMW,I3,PHEV,Eligible,72,AVISTA CORP
Island,Clinton,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Snohomish,Mountlake Terrace,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Kitsap,Hansville,2016,BMW,I8,PHEV,Not eligible,14,PSE INC
Snohomish,Bothell,2016,BMW,I8,PHEV,Not eligible,14,PSE INC
Thurston,Tumwater,2016,BMW,I8,PHEV,Not eligible,14,PSE INC
Snohomish,Stanwood,2016,BMW,I8,PHEV,Not eligible,14,PSE INC
Yakima,Yakima,2016,BMW,I8,PHEV,Not eligible,14,PACIFICORP
Spokane,Spokane,2016,BMW,I8,PHEV,Not eligible,14,AVISTA CORP
Snohomish,Edmonds,2016,BMW,I8,PHEV,Not eligible,14,PSE INC
Thurston,Olympia,2016,BMW,I8,PHEV,Not eligible,14,PSE INC
Thurston,Olympia,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Snohomish,Everett,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Thurston,Lacey,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Yakima,Zillah,2016,BMW,X5,PHEV,Not eligible,14,PACIFICORP
Snohomish,Bothell,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Kitsap,Olalla,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Yakima,Yakima,2016,BMW,X5,PHEV,Not eligible,14,PACIFICORP
Snohomish,Marysville,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Kitsap,Port Orchard,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Spokane,Spokane,2016,BMW,X5,PHEV,Not eligible,14,AVISTA CORP
Snohomish,Arlington,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Snohomish,Edmonds,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Snohomish,Snohomish,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Snohomish,Lynnwood,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Walla Walla,College Place,2016,BMW,X5,PHEV,Not eligible,14,PACIFICORP
Whitman,Pullman,2016,BMW,X5,PHEV,Not eligible,14,AVISTA CORP
Spokane,Greenacres,2016,BMW,X5,PHEV,Not eligible,14,AVISTA CORP
Yakima,Yakima,2016,CADILLAC,ELR,PHEV,Eligible,40,PACIFICORP
Thurston,Rochester,2016,CADILLAC,ELR,PHEV,Eligible,40,PSE INC
Snohomish,Marysville,2016,CADILLAC,ELR,PHEV,Eligible,40,PSE INC
